,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2023-12-13 13:29:59,1.3596386375284044e-07,1.0701405463251843e-09,5.636449561665541e-11,5.636449561665541e-11
2023-12-13 13:44:59,1.3056762433547936e-07,1.1554769161753292e-09,8.23971833060435e-11,8.23971833060435e-11
2023-12-13 13:59:59,1.2737770221846035e-07,1.2940913875494394e-09,1.2241138239392572e-10,1.2241138239392572e-10
2023-12-13 14:14:59,1.3254083348154056e-07,1.1934483908498343e-09,1.1418148006297689e-10,1.1418148006297689e-10
2023-12-13 14:29:59,1.3347317771537163e-07,1.1984812863724384e-09,1.0950793201909593e-10,1.0950793201909593e-10
2023-12-13 14:44:59,1.3149706098168854e-07,1.4386257299824533e-09,1.629246853700187e-10,1.629246853700187e-10
2023-12-13 14:59:59,1.31863634243088e-07,1.3713490275595116e-09,1.5357370834178755e-10,1.5357370834178755e-10
2023-12-13 15:14:59,1.365534336441426e-07,1.4451002207860406e-09,1.7535356581157565e-10,1.7535356581157565e-10
2023-12-13 15:29:59,1.329653168485583e-07,1.5321503253701026e-09,1.9781494923861182e-10,1.9781494923861182e-10
2023-12-13 15:44:59,1.2228872025933172e-07,1.198398647872954e-09,1.3677048402752907e-10,1.3677048402752907e-10
2023-12-13 15:59:59,1.1726118887730135e-07,9.770209232889542e-10,9.658798005718993e-11,9.658798005718993e-11
2023-12-13 16:14:59,1.1879950816879648e-07,8.092267610949287e-10,6.10610903482795e-11,6.10610903482795e-11
2023-12-13 16:29:59,1.189537670983238e-07,8.409884577661969e-10,6.57485728797462e-11,6.57485728797462e-11
2023-12-13 16:44:59,1.2325769137284185e-07,8.180442168999288e-10,5.939965733663376e-11,5.939965733663376e-11
2023-12-13 16:59:59,1.1999820709380442e-07,9.128881618998513e-10,8.582448629529209e-11,8.582448629529209e-11
2023-12-13 17:14:59,1.1759431339545277e-07,8.97208455564633e-10,7.882901705934453e-11,7.882901705934453e-11
2023-12-13 17:29:59,1.2415473624763576e-07,7.762797452413622e-10,4.4819740196341224e-11,4.4819740196341224e-11
2023-12-13 17:44:59,1.30363378754511e-07,7.772950988950877e-10,4.9836769081970977e-11,4.9836769081970977e-11
2023-12-13 17:59:59,1.2913044804539544e-07,7.944439204684734e-10,5.1559798041192826e-11,5.1559798041192826e-11
2023-12-13 18:14:59,1.200181999454566e-07,7.913760394931333e-10,4.836224600701159e-11,4.836224600701159e-11
2023-12-13 18:29:59,1.2442324326881142e-07,3.909917879320229e-09,1.1444767168341323e-09,1.1444767168341323e-09
2023-12-13 18:44:59,1.2941672532792318e-07,4.195420902562322e-09,1.2316786831966955e-09,1.2316786831966955e-09
2023-12-13 18:59:59,1.276727173918159e-07,7.801155601623975e-10,3.169035354122737e-11,3.169035354122737e-11
2023-12-13 19:14:59,1.2113296161993152e-07,7.571786790539903e-10,3.0732124821106734e-11,3.0732124821106734e-11
2023-12-13 19:29:59,1.1828145444627283e-07,7.509111164771329e-10,3.158069132409546e-11,3.158069132409546e-11
2023-12-13 19:44:59,1.2089427869266638e-07,7.180540751583904e-10,3.012871532600922e-11,3.012871532600922e-11
2023-12-13 19:59:59,1.1742133298676913e-07,8.437532710526243e-10,5.87060206706821e-11,5.87060206706821e-11
2023-12-13 20:14:59,1.1195494101174923e-07,8.787637643710389e-10,5.830184113571776e-11,5.830184113571776e-11
2023-12-13 20:29:59,1.1264754570103677e-07,7.686875258682056e-10,3.289502788266202e-11,3.289502788266202e-11
2023-12-13 20:44:59,1.1515510334271883e-07,7.355955393429889e-10,4.039551913378771e-11,4.039551913378771e-11
2023-12-13 20:59:59,1.1205758943575097e-07,7.61849475000692e-10,4.533021469652418e-11,4.533021469652418e-11
2023-12-13 21:14:59,1.0615369217774606e-07,7.846963905173527e-10,4.24395115343809e-11,4.24395115343809e-11
2023-12-13 21:29:59,1.1223819512671742e-07,9.142540576113677e-10,6.828065488714222e-11,6.828065488714222e-11
2023-12-13 21:44:59,1.2021377832500756e-07,1.0642668695082058e-09,1.132009817865924e-10,1.132009817865924e-10
2023-12-13 21:59:59,1.2064434311673274e-07,9.87512861976093e-10,9.753871927787262e-11,9.753871927787262e-11
2023-12-13 22:14:59,1.06582641235187e-07,9.16515773670827e-10,8.676574407692097e-11,8.676574407692097e-11
2023-12-13 22:29:59,1.1484696272891607e-07,1.0186625886968237e-09,1.0351625661249875e-10,1.0351625661249875e-10
2023-12-13 22:44:59,1.1460791955371039e-07,1.0478361910454148e-09,1.0012981095838615e-10,1.0012981095838615e-10
